molecular_profile	molecular_profile_id	disease	doid	phenotypes	therapies	assertion_type	assertion_direction	significance	acmg_codes	amp_category	nccn_guideline	nccn_guideline_version	regulatory_approval	fda_companion_test	assertion_summary	assertion_description	assertion_id	evidence_item_ids	last_review_date	assertion_civic_url	evidence_items_civic_url	molecular_profile_civic_url	is_flagged
NTRK3 ETV6::NTRK3	779	B-lymphoblastic Leukemia/lymphoma	0080630		Larotrectinib	Predictive	Supports	Sensitivity/Response		Tier II - Level C			false	false	ETV6-NTRK3–positive B-cell lymphoblastic leukemia patients can be sensitive to larotrectinib	An ETV6-NTRK3 gene fusion can be seen in ∼1% of “Philadelphia-like” B-cell acute lymphoblastic leukemia (B-ALL) cases. The TRK pathway has been implicated in the pathogenesis of many cancer types, with NTRK fusions being the best characterized. Larotrectinib and entrectinib are NTRK inhibitors that are FDA approved for patients with NTRK fusion-positive solid tumors, including tumors with ETV6-NTRK3 fusions, and are reported to have durable NTRK inhibition. Evaluating response of ETV6-NTRK3 fusion in B-ALL cases to larotrectinib is difficult due to the rarity of the fusion in this cancer type. However, in a limited number of clinical cases of ETV6-NTRK3 in B-ALL, patients harboring these fusions have responded to larotrectinib. One patient demonstrated a response to treatment that was lost on discontinuation of therapy but showed durable response achieving remission on restarting laroterctinib [civic:eid8917]. The functional impact of ETV6-NTRK3 has been demonstrated through increased tumorigenic properties in mice, which mimic human B-ALL [civic:eid8931] and enhanced sensitivity to Larotrectinib both in vivo and in vitro [civic:eid6930]. These pre-clinical and limited clinical studies show that ETV6-NTRK3 fusion-positive B-ALL may demonstrate response to larotrectinib with minimal adverse effects similar to solid tumors for which these are FDA-approved.	39	6930,8917,6099,8931,7993,8930,7496	2023-01-09 21:47:55 UTC	https://civicdb.org/links/assertions/39	https://civicdb.org/links/evidence_items/6930,https://civicdb.org/links/evidence_items/8917,https://civicdb.org/links/evidence_items/6099,https://civicdb.org/links/evidence_items/8931,https://civicdb.org/links/evidence_items/7993,https://civicdb.org/links/evidence_items/8930,https://civicdb.org/links/evidence_items/7496	https://civicdb.org/links/assertions/39	https://civicdb.org/links/molecular_profiles/779	false
VHL L184P (c.551T>C)	1652	Von Hippel-Lindau Disease	14175	Retinal capillary hemangioma,Spinal hemangioblastoma,Hemangioblastoma,Abnormal renal morphology,Renal cyst,Abnormality of the pancreas,Pancreatic cysts,Morphological central nervous system abnormality,Renal cell carcinoma,Clear cell renal cell carcinoma,Cerebellar hemangioblastoma,Retinal vascular proliferation		Predisposing	Supports	Uncertain Significance	PM1,PM2,PP4						L184P (c.551T>C) is a variant of unknown significance (VUS) for Von Hippel-Lindau Disease	The L184P variant is not found in the general population in the gnomAD exomes (v2.0.2) supporting ACMG code PM2. The variant occurs within a functional domain, disrupting VHL binding to elongin C (ACMG code PM1). This variant has been found to have patient phenotypes that are highly specific for VHL disease. ACMG code PP4: [civic:EID8491], [civic:EID6119], [civic:EID5055], [civic:EID4943].	41	6119,8491,4943,5055	2023-01-09 21:47:55 UTC	https://civicdb.org/links/assertions/41	https://civicdb.org/links/evidence_items/6119,https://civicdb.org/links/evidence_items/8491,https://civicdb.org/links/evidence_items/4943,https://civicdb.org/links/evidence_items/5055	https://civicdb.org/links/assertions/41	https://civicdb.org/links/molecular_profiles/1652	false
ABL1 SNX2::ABL1	2547	B-lymphoblastic Leukemia/lymphoma, BCR-ABL1–like	0080650			Diagnostic	Supports	Positive		Tier II - Level C					SNX2-ABL1 fusions are associated with Ph-like B-lymphoblastic leukemia	SNX2-ABL1 fusions in B-ALL are rare based on large retrospective studies. Few cases have been described but when available, microarray expression signatures from patients harboring these fusions, show a Ph-like signature. Co-occurrence with IKZF1 deletions has been described in 2 patients. Relatively short overall survival has also been implied in these rare patients, consistent with the poor outcomes associated with Ph-like B-ALL.	43	7241,7694,7744,9177,7254,9178	2023-01-09 21:47:55 UTC	https://civicdb.org/links/assertions/43	https://civicdb.org/links/evidence_items/7241,https://civicdb.org/links/evidence_items/7694,https://civicdb.org/links/evidence_items/7744,https://civicdb.org/links/evidence_items/9177,https://civicdb.org/links/evidence_items/7254,https://civicdb.org/links/evidence_items/9178	https://civicdb.org/links/assertions/43	https://civicdb.org/links/molecular_profiles/2547	false
NTRK2 KANK1::NTRK2	3027	Solid Tumor			Larotrectinib	Predictive	Supports	Sensitivity/Response		Tier I - Level A			true	true	KANK1::NTRK2 positive tumors demonstrate sensitivity to larotrectinib.	Larotrectinib has been approved by the FDA to treat NTRK fusion-positive solid tumors (Tier I, level A). Two KANK1::NTRK2 fusion-positive central nervous system tumors in two different individuals demonstrated response to adjuvant larotrectinib treatment. In both reports, NTRK2 was the 3' partner, in-frame, and had the tyrosine kinase domain retained.	51	10360,10361,10392	2023-01-09 21:47:55 UTC	https://civicdb.org/links/assertions/51	https://civicdb.org/links/evidence_items/10360,https://civicdb.org/links/evidence_items/10361,https://civicdb.org/links/evidence_items/10392	https://civicdb.org/links/assertions/51	https://civicdb.org/links/molecular_profiles/3027	false
NTRK3 ETV6::NTRK3	779	Congenital Fibrosarcoma	8418	Pediatric onset	Larotrectinib	Predictive	Supports	Sensitivity/Response		Tier I - Level A	Soft Tissue Sarcoma	2.2022	true	true	ETV6::NTRK3- positive infantile fibrosarcoma tumors are sensitive to larotrectinib.	Larotrectinib, a tropomyosin receptor kinase (TRK) inhibitor is FDA approved drug and an age- and tumor-agnostic therapy for solid tumors with NTRK fusions. Over 90% of patients with NTRK fusion positive infantile fibrosarcoma show response to treatment with larotrectinib.	56	6099,7418,6473	2023-06-12 20:46:41 UTC	https://civicdb.org/links/assertions/56	https://civicdb.org/links/evidence_items/6099,https://civicdb.org/links/evidence_items/7418,https://civicdb.org/links/evidence_items/6473	https://civicdb.org/links/assertions/56	https://civicdb.org/links/molecular_profiles/779	false
NTRK2 KANK1::NTRK2	3027	Solid Tumor				Oncogenic	Supports	Oncogenic							KANK1::NTRK2 is classified as an Oncogenic NTRK fusion.	KANK1::NTRK2 has been reported in five published tumors, (CA1), including in 4 brain tumors, with NTRK2 the 3’ partner gene in each case (FG1). Additionally, the fusion junctions reported are predicted to retain an intact NTRK2 tyrosine kinase domain (TKD) (FG2) and the TKD to be in-frame (FG3). KANK1 has been reported as a 5’ fusion partner in other kinase gene fusions in cancers (CA2). In two of the five reported cases, KANK1::NTRK2 positive tumors demonstrated response to NTRK targeted (larotrectinib) treatment (CV). Expression of the fusion has been detected by Pan-Trk immunohistochemical staining (FS2). Collectively, FG1+FG2+FG3+CA1+CA2+CV+FS2, results in an Oncogenic classification for KANK1::NTRK2 via the ClinGen NTRK SC-VCEP fusion oncogenicity rules.	57	10896,8653,10360,10361,10362	2023-01-13 07:39:03 UTC	https://civicdb.org/links/assertions/57	https://civicdb.org/links/evidence_items/10896,https://civicdb.org/links/evidence_items/8653,https://civicdb.org/links/evidence_items/10360,https://civicdb.org/links/evidence_items/10361,https://civicdb.org/links/evidence_items/10362	https://civicdb.org/links/assertions/57	https://civicdb.org/links/molecular_profiles/3027	false
NTRK3 EML4::NTRK3	4167	Congenital Fibrosarcoma	8418			Diagnostic	Supports	Positive		Tier I - Level A					The EML4 (EMAP Like 4)::NTRK3 (Neurotrophic receptor tyrosine kinase) fusion is associated with Infantile fibrosarcoma.	The EML4 (EMAP Like 4)::NTRK3 (Neurotrophic receptor tyrosine kinase) fusion formed through a reciprocal t(2;15)(p21;q25). The chimeric fusion results from joining the 5′ part of EML4 with the 3′ exons of NTRK3. The EML4::NTRK3 fusion preserves a small portion of the EML4 basic region and the entire protein kinase portion of NTRK3. This fusion is documented in Infantile fibrosarcoma patients. Cytogenetics, array CGH and RNA analysis verified the EML4::NTRK3 fusion.	58	11517,10419	2023-10-16 16:37:39 UTC	https://civicdb.org/links/assertions/58	https://civicdb.org/links/evidence_items/11517,https://civicdb.org/links/evidence_items/10419	https://civicdb.org/links/assertions/58	https://civicdb.org/links/molecular_profiles/4167	false
NTRK3 ETV6::NTRK3	779	Congenital Fibrosarcoma	8418	Pediatric onset		Diagnostic	Supports	Positive		Tier I - Level A					ETV6::NTRK3 is a desirable diagnostic criteria for congenital (infantile) fibrosarcoma	Congenital (infantile) fibrosarcoma is a malignant fibroblastic tumor occurring in infancy (typically < 3 years of age) and most frequently is characterized by an ETV6::NTRK3 fusion (civic:EID11276), (civic:EID11277). The ETV6::NTRK3 fusion t(12;15)(p13;q25)results from joining the 5′ part of ETV6 encoding the helix–loop–helix (HLH) dimerization domain with the 3′ exons of NTRK3 encoding the protein tyrosine kinase (PTK) domain. Consensus professional guidelines (WHO) list detection of ETV6::NTRK3 or other rearrangements involving NTRK1, BRAF, and MET as desirable diagnostic criteria for infantile fibrosarcoma (WHO classification of tumours series, 5th ed.; vol. 3).	59	11276,11277	2023-06-12 16:53:57 UTC	https://civicdb.org/links/assertions/59	https://civicdb.org/links/evidence_items/11276,https://civicdb.org/links/evidence_items/11277	https://civicdb.org/links/assertions/59	https://civicdb.org/links/molecular_profiles/779	false
NTRK3 ETV6::NTRK3	779	Cancer	162			Oncogenic	Supports	Oncogenic							ETV6::NTRK3 is an oncogenic fusion in multiple cancer types.	ETV6::NTRK3 fusion transcripts include the helix-loop-helix (HLH) protein dimerization domain of ETV6 fused to the tyrosine kinase domain of NTRK3. The fusion has been observed in multiple tumor types including breast secretory carcinoma, congenital fibrosarcoma, mesoblastic nephroma, and other hematologic and solid tumors. Oncogenicity assessment utilizing ClinGen NTRK SC-VCEP Guidelines yields the following criteria. FG1, FG2, and FG3, since NTRK3 is 3' partner, retains kinase domain, and is in frame (civicEID:10502). The fusion is described in > 100 tumor cases (CA1), ETV6 is found in other cancer associated fusions (civicEID:8599, CA2). ETV6::NTRK3 induces transformation in cells and tumors in mice (civicEID:8931, FS1), expression of ETV6 in tumors is verified (civicEID:10504, FS2), and the fusion responds to therapeutic inhibition (civicAID:39, civicEID:6099. CV1).	60	6099,8599	2023-05-08 16:49:52 UTC	https://civicdb.org/links/assertions/60	https://civicdb.org/links/evidence_items/6099,https://civicdb.org/links/evidence_items/8599	https://civicdb.org/links/assertions/60	https://civicdb.org/links/molecular_profiles/779	false
NTRK3 ETV6::NTRK3	779	Congenital Mesoblastic Nephroma	4773		Larotrectinib	Predictive	Supports	Sensitivity/Response		Tier I - Level A			false		ETV6::NTRK3 positive mesoblastic nephroma is responsive to larotrectinib in a pediatric case study.	ETV6::NTRK3 results from t(12;15)(p13;q25) translocation, and is associated with the cellular subtype of congenital mesoblastic nephroma (CMN)(civicEID:10841). The efficacy of NTRK inhibitors against NTRK fusion-positive solid tumors was assessed in patients enrolled on the clinical trial NCT02637687, including CMN that made up about 2% of study participants. The NTRK inhibitor larotrectinib is now approved for use in patients with ETV6::NTRK3 positive solid tumors, including CMN. One report in a single 23 month old male patient with CMN (civicEID:10840) showed response.	61	10840,10841,6568	2023-09-17 00:00:25 UTC	https://civicdb.org/links/assertions/61	https://civicdb.org/links/evidence_items/10840,https://civicdb.org/links/evidence_items/10841,https://civicdb.org/links/evidence_items/6568	https://civicdb.org/links/assertions/61	https://civicdb.org/links/molecular_profiles/779	true
NTRK3 ETV6::NTRK3	779	Congenital Mesoblastic Nephroma	4773	Pediatric onset		Diagnostic	Supports	Positive		Tier I - Level A					ETV6::NTRK3 is a desirable diagnostic criteria for the cellular subtype of congenital mesoblastic nephroma	Congenital mesoblastic nephroma is a spindle cell renal tumor occurring in infancy (generally < 1 year of age). The cellular subtype is most frequently characterized by an ETV6::NTRK3 fusion (civic:EID11279), (civic:EID11280), (civic:EID10841). The ETV6::NTRK3 fusion t(12;15)(p13;q25)results from joining the 5′ part of ETV6 encoding the helix–loop–helix (HLH) dimerization domain with the 3′ exons of NTRK3 encoding the protein tyrosine kinase domain (TKD). Consensus professional guidelines (WHO) list the detection of ETV6::NTRK3 fusion as desirable diagnostic criteria for the cellular subtype of mesoblastic nephroma (WHO classification of tumours series, 5th ed.; vol. 7).	71	10841,11279,11280	2023-07-10 16:39:14 UTC	https://civicdb.org/links/assertions/71	https://civicdb.org/links/evidence_items/10841,https://civicdb.org/links/evidence_items/11279,https://civicdb.org/links/evidence_items/11280	https://civicdb.org/links/assertions/71	https://civicdb.org/links/molecular_profiles/779	true
NTRK3 ETV6::NTRK3	779	Breast Secretory Carcinoma	4922	Pediatric onset,Adult onset		Diagnostic	Supports	Positive		Tier I - Level A					ETV6::NTRK3 is a desirable diagnostic criteria for breast secretory carcinoma	Breast secretory carcinoma is a rare breast cancer with a characteristic histology, associated with ETV6::NTRK3 fusions in the majority of cases (civicEID11343),(civicEID11344),(civicEID11345). The ETV6::NTRK3 fusion t(12;15)(p13;q25) results from joining the 5′ part of ETV6 encoding the helix–loop–helix (HLH) dimerization domain with the 3′ exons of NTRK3 encoding the protein tyrosine kinase (PTK) domain. Consensus professional guidelines (WHO) list detection of ETV6 rearrangement or ETV6::NTRK3 as desirable diagnostic criteria for breast secretary carcinoma (WHO classification of tumours series, 5th ed.; vol. 2).	74	11344,11345,11343	2023-09-13 21:37:42 UTC	https://civicdb.org/links/assertions/74	https://civicdb.org/links/evidence_items/11344,https://civicdb.org/links/evidence_items/11345,https://civicdb.org/links/evidence_items/11343	https://civicdb.org/links/assertions/74	https://civicdb.org/links/molecular_profiles/779	false
